simulation_number,shower_length,total_water,water_type,heat_type,total_heat,total_CO2eq
133,14.746335664193046,167.5954227490784,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",24.13374087586729,1.8349913664132642
134,10.472188457290141,119.01877805950535,"tap water production, underground water with disinfection","Heat, central or small-scale, other than natural gas {CH}",17.13870404056877,1.8046796696326364
135,10.07008251900949,114.44875359710964,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",16.480620517983787,1.2088703807255288
136,9.720713657077715,110.47809787326108,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",15.908846093749593,1.2018953909478634
137,10.030383566688876,113.99756607172158,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",16.415649514327907,0.6619911964129543
138,10.412605681189675,118.34160640299892,"tap water production, underground water with disinfection","Heat, borehole heat pump {CH}",17.041191322031843,0.5157341808763809
139,9.133126952099403,103.80004276417394,"tap water production, underground water with disinfection","Heat, central or small-scale, other than natural gas {CH}",14.947206158041046,1.5739182500247684
140,7.044580626863621,80.06324385494611,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",11.52910711511224,1.3154858074668359
141,9.436239972821031,107.24499044510492,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",15.443278624095107,1.174218414380429
142,9.351459254307128,106.28143850353274,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",15.304527144508713,1.1226027282053967
143,7.7884446867166695,88.51742626458946,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",12.746509382100882,0.9629844167667064
144,11.727885754661996,133.29006037602838,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",19.193768694148083,2.1900334567849367
145,14.28693048931721,162.3741795704502,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",23.381881858144826,1.7664748198194533
146,8.11840224356616,92.26746813863423,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",13.286515411963327,1.516008332702266
147,6.328079813611216,71.92005089964954,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",10.356487329549532,0.4176443601540181
148,7.0642723066277044,80.28704422609286,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, other than natural gas {CH}",11.561334368557372,1.6696683799565237
149,6.640350698569643,75.46907976815118,"tap water production, underground water with disinfection","Heat, central or small-scale, other than natural gas {CH}",10.867547486613768,1.1443363489698408
150,13.282669628182143,150.9605289249564,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",21.73831616519372,0.007781819120832053
151,11.785747639351753,133.94767371445153,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",19.28846501488102,1.4665843540676953
152,7.9660811146866095,90.53630423666412,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",13.037227810079633,0.4352108902544746
153,13.676089743584456,155.43183705602965,"tap water production, underground water with disinfection","Heat, central or small-scale, other than natural gas {CH}",22.38218453606827,2.3568102523151984
154,8.71165960495097,99.0099715336789,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",14.25743590084976,1.0690432712169187
155,13.259125239412969,150.69294164910727,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",21.699783597471445,2.475972949384591
156,7.1177378373094795,80.89469201203563,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",11.64883564973313,0.3888633540351897
157,9.065685537500931,103.03355591294402,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",14.836832051463938,1.1290795423358575
158,6.732722958456773,76.51891128552688,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",11.01872322511587,0.8385223296311267
159,11.784996341146922,133.93913504131154,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",19.287235445948863,1.4664908646916999
160,12.353026418867273,140.3949246813708,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",20.216869154117393,2.3067705224800124
161,6.168069847676449,70.10150163455857,"tap water production, conventional with biological treatment","Heat, central or small-scale, other than natural gas {CH}",10.094616235376433,1.0735756288516125
162,7.487473530105789,85.09682135119657,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",12.253942274572305,0.9317195537162501
163,11.555837764277305,131.33469625450854,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",18.912196260649228,1.3872289498456276
164,5.199516856450274,59.09367896485007,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",8.50948977093841,0.9709436221457741
165,6.803144854641784,77.31927198059617,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",11.133975165205849,0.8166884725161789
166,12.9380272246624,147.04359046441374,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",21.174277026875576,0.007579906032527192
167,9.652129139985313,109.69861940498959,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",15.7966011943185,1.1586968633315347
168,9.076431331586141,103.1556842805261,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",14.854418536395757,1.0895868011737904
169,10.573879610297864,120.17452089394754,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, other than natural gas {CH}",17.305131008728445,2.499177788236948
170,8.496508581043596,96.56473173799121,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",13.905321370270734,1.050531356334101
171,11.04453451752359,125.52361981192206,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",18.075401252916777,1.3258491796796372
172,6.810247234628187,77.39999212717714,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, other than natural gas {CH}",11.145598866313508,1.6096285609880718
173,13.084981111296123,148.7137544506305,"tap water production, conventional with biological treatment","Heat, central or small-scale, other than natural gas {CH}",21.41478064089079,2.27748990721353
174,12.317374961657311,139.98973784860172,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",20.158522250198647,0.007216289095357184
175,10.133966881113645,115.17481374640484,"tap water production, conventional treatment","Heat, central or small-scale, other than natural gas {CH}",16.585173179482297,1.7558044488960602
176,10.799757181199542,122.74167030969858,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",17.674800524596595,1.3450482972353948
177,9.829526195092598,111.71477685062128,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",16.086927866489464,0.6487348926188539
178,6.907475806495133,78.50501672287365,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",11.304722408093804,0.8292129575191896
